# nccl-tests version 2.18.5 nccl-headers=22803 nccl-library=22803
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 8 maxBytes 4294967296 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid  24486 on ip-10-42-20-223 device  0 [0000:53:00] NVIDIA H200
#  Rank  1 Group  0 Pid  24487 on ip-10-42-20-223 device  1 [0000:64:00] NVIDIA H200
#  Rank  2 Group  0 Pid  24488 on ip-10-42-20-223 device  2 [0000:75:00] NVIDIA H200
#  Rank  3 Group  0 Pid  24489 on ip-10-42-20-223 device  3 [0000:86:00] NVIDIA H200
#  Rank  4 Group  0 Pid  24490 on ip-10-42-20-223 device  4 [0000:97:00] NVIDIA H200
#  Rank  5 Group  0 Pid  24491 on ip-10-42-20-223 device  5 [0000:a8:00] NVIDIA H200
#  Rank  6 Group  0 Pid  24492 on ip-10-42-20-223 device  6 [0000:b9:00] NVIDIA H200
#  Rank  7 Group  0 Pid  24493 on ip-10-42-20-223 device  7 [0000:ca:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1   106.84    0.00    0.00       0    12.68    0.00    0.00       0
          16             4     float     sum      -1    12.85    0.00    0.00       0    12.84    0.00    0.00       0
          32             8     float     sum      -1    62.89    0.00    0.00       0    14.00    0.00    0.00       0
          64            16     float     sum      -1    14.99    0.00    0.01       0    14.73    0.00    0.01       0
         128            32     float     sum      -1    15.79    0.01    0.01       0    15.70    0.01    0.01       0
         256            64     float     sum      -1    15.99    0.02    0.03       0    15.50    0.02    0.03       0
         512           128     float     sum      -1    16.20    0.03    0.06       0    15.97    0.03    0.06       0
        1024           256     float     sum      -1    16.68    0.06    0.11       0    15.84    0.06    0.11       0
        2048           512     float     sum      -1    16.65    0.12    0.22       0    16.03    0.13    0.22       0
        4096          1024     float     sum      -1    16.88    0.24    0.42       0    16.53    0.25    0.43       0
        8192          2048     float     sum      -1    17.15    0.48    0.84       0    16.41    0.50    0.87       0
       16384          4096     float     sum      -1    17.88    0.92    1.60       0    17.09    0.96    1.68       0
       32768          8192     float     sum      -1    19.31    1.70    2.97       0    18.55    1.77    3.09       0
       65536         16384     float     sum      -1    19.57    3.35    5.86       0    19.91    3.29    5.76       0
      131072         32768     float     sum      -1    21.87    5.99   10.49       0    18.94    6.92   12.11       0
      262144         65536     float     sum      -1    20.65   12.69   22.22       0    19.15   13.69   23.96       0
      524288        131072     float     sum      -1    20.40   25.70   44.98       0    20.27   25.87   45.27       0
     1048576        262144     float     sum      -1    27.06   38.75   67.81       0    25.76   40.70   71.23       0
     2097152        524288     float     sum      -1    42.38   49.48   86.59       0    41.31   50.77   88.85       0
     4194304       1048576     float     sum      -1    53.22   78.82  137.93       0    52.60   79.75  139.56       0
     8388608       2097152     float     sum      -1    82.64  101.51  177.64       0    81.48  102.96  180.18       0
    16777216       4194304     float     sum      -1   122.19  137.30  240.28       0   122.21  137.28  240.25       0
    33554432       8388608     float     sum      -1   196.81  170.49  298.35       0   196.12  171.09  299.41       0
    67108864      16777216     float     sum      -1   321.54  208.71  365.24       0   321.07  209.01  365.77       0
   134217728      33554432     float     sum      -1   582.12  230.57  403.49       0   570.82  235.13  411.48       0
   268435456      67108864     float     sum      -1  1075.81  249.52  436.66       0  1075.06  249.69  436.96       0
   536870912     134217728     float     sum      -1  2095.68  256.18  448.31       0  2092.72  256.54  448.95       0
  1073741824     268435456     float     sum      -1  4104.03  261.63  457.85       0  4106.55  261.47  457.57       0
  2147483648     536870912     float     sum      -1  8140.09  263.82  461.68       0  8141.67  263.76  461.59       0
  4294967296    1073741824     float     sum      -1  15806.3  271.73  475.52       0  15811.4  271.64  475.37       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 138.632 
#
# Collective test concluded: all_reduce_perf
#

